,Año,Esperanza de vida
11060,1893,23.29
11061,1894,26.62
11062,1895,29.52
11063,1896,28.8
11064,1897,26.24
11065,1898,27.03
11066,1899,24.98
11067,1900,25.0
11068,1901,26.65
11069,1902,28.37
11070,1903,28.68
11071,1904,29.09
11072,1905,26.8
11073,1906,27.88
11074,1907,27.97
11075,1908,28.72
11076,1909,29.21
11077,1910,28.0
11078,1920,34.0
11079,1922,32.6
11080,1923,33.5
11081,1924,32.8
11082,1925,32.1
11083,1926,34.2
11084,1927,40.3
11085,1928,34.5
11086,1929,35.4
11087,1930,34.0
11088,1931,37.7
11089,1932,38.4
11090,1933,37.3
11091,1934,38.2
11092,1935,40.4
11093,1936,38.3
11094,1937,36.8
11095,1938,39.4
11096,1939,45.5
11097,1940,39.0
11098,1941,42.6
11099,1942,39.8
11100,1943,42.8
11101,1944,43.2
11102,1945,44.2
11103,1946,44.8
11104,1947,46.3
11105,1948,48.3
11106,1949,45.8
11107,1950,43.8357
11108,1951,44.7707
11109,1952,45.6679
11110,1953,47.0446
11111,1954,48.2999
11112,1955,49.5978
11113,1956,50.3553
11114,1957,51.1148
11115,1958,51.8354
11116,1959,52.6611
11117,1960,53.5732
11118,1961,54.4218
11119,1962,55.0573
11120,1963,55.501
11121,1964,55.9164
11122,1965,56.6876
11123,1966,57.3552
11124,1967,57.9592
11125,1968,58.2202
11126,1969,58.4128
11127,1970,58.8934
11128,1971,59.4148
11129,1972,60.0514
11130,1973,60.5177
11131,1974,61.1799
11132,1975,61.8832
11133,1976,62.4748
11134,1977,62.9879
11135,1978,63.4347
11136,1979,63.8618
11137,1980,64.2819
11138,1981,64.7219
11139,1982,65.2561
11140,1983,65.7563
11141,1984,66.2145
11142,1985,66.7745
11143,1986,67.3767
11144,1987,67.9037
11145,1988,68.2994
11146,1989,68.6209
11147,1990,69.0342
11148,1991,69.3683
11149,1992,69.6633
11150,1993,69.9607
11151,1994,70.3017
11152,1995,70.703
11153,1996,71.0876
11154,1997,71.4723
11155,1998,71.7924
11156,1999,72.2034
11157,2000,72.5621
11158,2001,72.9118
11159,2002,73.1056
11160,2003,73.308
11161,2004,73.4324
11162,2005,73.6267
11163,2006,73.7457
11164,2007,73.7955
11165,2008,73.6949
11166,2009,73.6281
11167,2010,73.7181
11168,2011,73.9209
11169,2012,74.1278
11170,2013,74.289
11171,2014,74.4044
11172,2015,74.4315
11173,2016,74.3763
11174,2017,74.2609
11175,2018,74.3009
11176,2019,74.5302
11177,2020,70.4492
11178,2021,69.7499
11179,2022,73.9731
11180,2023,75.069
